M=4,M=8,M=12,M=16,M=20
1.0000000,0.5000000,0.3333333,0.2500000,0.2000000
0.0000000,0.6250000,0.4166667,0.3125000,0.2500000
0.0000000,0.7500000,0.5000000,0.3750000,0.3000000
0.0000000,0.7500000,0.5000000,0.3750000,0.3000000
0.0000000,0.8750000,0.5833333,0.4375000,0.3500000
0.0000000,0.8750000,0.5833333,0.4375000,0.3500000
0.0000000,0.8750000,0.5833333,0.4375000,0.3500000
0.0000000,0.8750000,0.5833333,0.4375000,0.3500000
0.0000000,0.8750000,0.5833333,0.4375000,0.3500000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,1.0000000,0.6666667,0.5000000,0.4000000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.7500000,0.5625000,0.4500000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.8333333,0.6250000,0.5000000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
0.0000000,0.0000000,0.9166667,0.6875000,0.5500000
